,LOCAL_STUDENT_ID,STATE_STUDENT_ID,SITE_ID,SITE_NAME,FIRST_NAME,LAST_NAME,GRADE_LEVEL,CURRENT_SCHOOL_ENROLLMENT_START_DATE,CURRENT_SCHOOL_ENROLLMENT_END_DATE
430,67851,5364158251,4,Everest Public High School,Sydney,Armstrong,9,8/19/2020 0:00,6/12/2021 0:00
431,81574,8348349430,4,Everest Public High School,Florrie,Barnes,9,8/19/2020 0:00,6/12/2021 0:00
432,24580,2205388015,4,Everest Public High School,Maximilian,Barrett,9,8/19/2020 0:00,6/12/2021 0:00
433,86936,7237127976,4,Everest Public High School,Jack,Bennett,9,8/19/2020 0:00,6/12/2021 0:00
434,18055,7303124435,4,Everest Public High School,Martin,Chapman,9,8/19/2020 0:00,6/12/2021 0:00
435,17698,4661559605,4,Everest Public High School,Steven,Cunningham,9,8/19/2020 0:00,6/12/2021 0:00
436,32102,5643431886,4,Everest Public High School,Oliver,Douglas,9,8/19/2020 0:00,6/12/2021 0:00
437,52919,6357970945,4,Everest Public High School,William,Douglas,9,8/19/2020 0:00,6/12/2021 0:00
438,76740,4172505872,4,Everest Public High School,Alisa,Farrell,9,8/19/2020 0:00,6/12/2021 0:00
439,27601,7114663727,4,Everest Public High School,Briony,Farrell,9,8/19/2020 0:00,6/12/2021 0:00
440,93459,3013171748,4,Everest Public High School,Sienna,Ferguson,9,8/19/2020 0:00,6/12/2021 0:00
441,99380,8348550149,4,Everest Public High School,Haris,Gray,9,8/19/2020 0:00,6/12/2021 0:00
442,77410,2068902768,4,Everest Public High School,Miranda,Harper,9,8/19/2020 0:00,6/12/2021 0:00
443,47061,8989417442,4,Everest Public High School,Haris,Howard,9,8/19/2020 0:00,6/12/2021 0:00
444,97249,6791952592,4,Everest Public High School,David,Johnston,9,8/19/2020 0:00,6/12/2021 0:00
445,96775,7087088753,4,Everest Public High School,Amy,Kelley,9,8/19/2020 0:00,6/12/2021 0:00
446,86803,2783994713,4,Everest Public High School,Alina,Martin,9,8/19/2020 0:00,6/12/2021 0:00
447,90946,1253484723,4,Everest Public High School,David,Mason,9,8/19/2020 0:00,6/12/2021 0:00
448,91540,6272707367,4,Everest Public High School,Tyler,Mason,9,8/19/2020 0:00,6/12/2021 0:00
449,24087,9891559643,4,Everest Public High School,Annabella,Miller,9,8/19/2020 0:00,6/12/2021 0:00
450,59511,8753041860,4,Everest Public High School,Alfred,Moore,9,8/19/2020 0:00,6/12/2021 0:00
451,56178,1632400077,4,Everest Public High School,Naomi,Moore,9,8/19/2020 0:00,6/12/2021 0:00
452,84329,5124590738,4,Everest Public High School,Sawyer,Nelson,9,8/19/2020 0:00,6/12/2021 0:00
453,33671,9717185141,4,Everest Public High School,Ted,Nelson,9,8/19/2020 0:00,6/12/2021 0:00
454,24156,3303626077,4,Everest Public High School,Lyndon,Parker,9,8/19/2020 0:00,6/12/2021 0:00
455,71090,8022266465,4,Everest Public High School,Paige,Payne,9,8/19/2020 0:00,6/12/2021 0:00
456,14726,3979082957,4,Everest Public High School,Aiden,Reed,9,8/19/2020 0:00,6/12/2021 0:00
457,14546,1392943154,4,Everest Public High School,Alberta,Reed,9,8/19/2020 0:00,6/12/2021 0:00
458,69976,1240108248,4,Everest Public High School,Owen,Richardson,9,8/19/2020 0:00,6/12/2021 0:00
459,78128,1164220927,4,Everest Public High School,Wilson,Richardson,9,8/19/2020 0:00,6/12/2021 0:00
460,39055,4818718197,4,Everest Public High School,Fenton,Rogers,9,8/19/2020 0:00,6/12/2021 0:00
461,29638,5240993493,4,Everest Public High School,Carlos,Spencer,9,8/19/2020 0:00,6/12/2021 0:00
462,99413,6681620109,4,Everest Public High School,Natalie,Taylor,9,8/19/2020 0:00,6/12/2021 0:00
463,87123,7559597790,4,Everest Public High School,Amy,Thompson,9,8/19/2020 0:00,6/12/2021 0:00
464,54931,3493803312,4,Everest Public High School,Max,Thompson,9,8/19/2020 0:00,6/12/2021 0:00
465,39176,5905930454,4,Everest Public High School,Abraham,Turner,9,8/19/2020 0:00,6/12/2021 0:00
466,83721,2832236411,4,Everest Public High School,Adele,Walker,9,8/19/2020 0:00,6/12/2021 0:00
467,79468,7786879349,4,Everest Public High School,Carina,Walker,9,8/19/2020 0:00,6/12/2021 0:00
468,48690,3227522377,4,Everest Public High School,Kirsten,Walker,9,8/19/2020 0:00,6/12/2021 0:00
469,89563,3730485529,4,Everest Public High School,Jenna,Warren,9,8/19/2020 0:00,6/12/2021 0:00
470,16625,4629641706,4,Everest Public High School,Aiden,Watson,9,8/19/2020 0:00,6/12/2021 0:00
471,94408,7621941404,4,Everest Public High School,Chloe,West,9,8/19/2020 0:00,6/12/2021 0:00
472,41124,5190553971,4,Everest Public High School,Hailey,Wright,9,8/19/2020 0:00,6/12/2021 0:00
473,33709,6326006324,4,Everest Public High School,Aiden,Adams,10,8/19/2020 0:00,6/12/2021 0:00
474,22331,5286994133,4,Everest Public High School,Tara,Alexander,10,8/19/2020 0:00,6/12/2021 0:00
475,22179,9709204479,4,Everest Public High School,Miley,Anderson,10,8/19/2020 0:00,6/12/2021 0:00
476,45617,3232155656,4,Everest Public High School,Audrey,Baker,10,8/19/2020 0:00,6/12/2021 0:00
477,52242,4798184463,4,Everest Public High School,Alfred,Cameron,10,8/19/2020 0:00,6/12/2021 0:00
