,LOCAL_STUDENT_ID,STATE_STUDENT_ID,SITE_ID,SITE_NAME,FIRST_NAME,LAST_NAME,GRADE_LEVEL,CURRENT_SCHOOL_ENROLLMENT_START_DATE,CURRENT_SCHOOL_ENROLLMENT_END_DATE
1182,81329,3362620582,7,Summit Public School: K2,Agata,Adams,7,8/19/2020 0:00,6/12/2021 0:00
1183,35422,8697183496,7,Summit Public School: K2,Brianna,Adams,7,8/19/2020 0:00,6/12/2021 0:00
1184,91259,5371683072,7,Summit Public School: K2,Brooke,Allen,7,8/19/2020 0:00,6/12/2021 0:00
1185,37772,7061490191,7,Summit Public School: K2,Henry,Andrews,7,8/19/2020 0:00,6/12/2021 0:00
1186,79342,6439224295,7,Summit Public School: K2,Stuart,Armstrong,7,8/19/2020 0:00,6/12/2021 0:00
1187,90556,3786992807,7,Summit Public School: K2,Andrew,Bailey,7,8/19/2020 0:00,6/12/2021 0:00
1188,30176,9264590849,7,Summit Public School: K2,Naomi,Barrett,7,8/19/2020 0:00,6/12/2021 0:00
1189,97409,9711182978,7,Summit Public School: K2,Miller,Bennett,7,8/19/2020 0:00,6/12/2021 0:00
1190,57341,8709472398,7,Summit Public School: K2,Arianna,Campbell,7,8/19/2020 0:00,6/12/2021 0:00
1191,99141,5526480861,7,Summit Public School: K2,Max,Campbell,7,8/19/2020 0:00,6/12/2021 0:00
1192,55255,4765926181,7,Summit Public School: K2,Sarah,Campbell,7,8/19/2020 0:00,6/12/2021 0:00
1193,91067,5337992636,7,Summit Public School: K2,Victor,Campbell,7,8/19/2020 0:00,6/12/2021 0:00
1194,42655,2284876581,7,Summit Public School: K2,Lyndon,Casey,7,8/19/2020 0:00,6/12/2021 0:00
1195,38212,3877554562,7,Summit Public School: K2,Chelsea,Cooper,7,8/19/2020 0:00,6/12/2021 0:00
1196,65074,4323639567,7,Summit Public School: K2,Eric,Cunningham,7,8/19/2020 0:00,6/12/2021 0:00
1197,52341,4082390065,7,Summit Public School: K2,Savana,Douglas,7,8/19/2020 0:00,6/12/2021 0:00
1198,24056,7773128480,7,Summit Public School: K2,Arnold,Edwards,7,8/19/2020 0:00,6/12/2021 0:00
