,LOCAL_STUDENT_ID,STATE_STUDENT_ID,SITE_ID,SITE_NAME,FIRST_NAME,LAST_NAME,GRADE_LEVEL,CURRENT_SCHOOL_ENROLLMENT_START_DATE,CURRENT_SCHOOL_ENROLLMENT_END_DATE
223,30482,6691010764,3,Summit Preparatory Charter High School,Amy,Allen,9,8/19/2020 0:00,6/12/2021 0:00
224,80013,1126844699,3,Summit Preparatory Charter High School,Briony,Allen,9,8/19/2020 0:00,6/12/2021 0:00
225,22094,1416359680,3,Summit Preparatory Charter High School,Chloe,Andrews,9,8/19/2020 0:00,6/12/2021 0:00
226,39134,1447488631,3,Summit Preparatory Charter High School,Aldus,Armstrong,9,8/19/2020 0:00,6/12/2021 0:00
227,11333,5717170614,3,Summit Preparatory Charter High School,Darcy,Armstrong,9,8/19/2020 0:00,6/12/2021 0:00
228,19467,7517555167,3,Summit Preparatory Charter High School,Aldus,Baker,9,8/19/2020 0:00,6/12/2021 0:00
229,49207,1042036889,3,Summit Preparatory Charter High School,Eleanor,Baker,9,8/19/2020 0:00,6/12/2021 0:00
230,16476,3376346578,3,Summit Preparatory Charter High School,Thomas,Barnes,9,8/19/2020 0:00,6/12/2021 0:00
231,40965,8307182855,3,Summit Preparatory Charter High School,Sam,Bennett,9,8/19/2020 0:00,6/12/2021 0:00
232,31570,8528501620,3,Summit Preparatory Charter High School,Cherry,Brown,9,8/19/2020 0:00,6/12/2021 0:00
233,66084,8212694930,3,Summit Preparatory Charter High School,Stella,Campbell,9,8/19/2020 0:00,6/12/2021 0:00
234,84245,3327737358,3,Summit Preparatory Charter High School,Kristian,Casey,9,8/19/2020 0:00,6/12/2021 0:00
235,61685,1324447416,3,Summit Preparatory Charter High School,Carlos,Crawford,9,8/19/2020 0:00,6/12/2021 0:00
236,35459,4083220645,3,Summit Preparatory Charter High School,Adelaide,Cunningham,9,8/19/2020 0:00,6/12/2021 0:00
237,98961,3801876044,3,Summit Preparatory Charter High School,Abigail,Evans,9,8/19/2020 0:00,6/12/2021 0:00
238,37501,7950603186,3,Summit Preparatory Charter High School,Lenny,Evans,9,8/19/2020 0:00,6/12/2021 0:00
239,66003,8352583372,3,Summit Preparatory Charter High School,Adelaide,Farrell,9,8/19/2020 0:00,6/12/2021 0:00
240,62976,4036206819,3,Summit Preparatory Charter High School,Tony,Farrell,9,8/19/2020 0:00,6/12/2021 0:00
241,20965,5306333298,3,Summit Preparatory Charter High School,Miley,Gibson,9,8/19/2020 0:00,6/12/2021 0:00
242,90978,9097810933,3,Summit Preparatory Charter High School,Sofia,Gibson,9,8/19/2020 0:00,6/12/2021 0:00
243,63212,8203274957,3,Summit Preparatory Charter High School,Lydia,Grant,9,8/19/2020 0:00,6/12/2021 0:00
244,21084,1230103267,3,Summit Preparatory Charter High School,Evelyn,Hall,9,8/19/2020 0:00,6/12/2021 0:00
245,42180,9212002037,3,Summit Preparatory Charter High School,Amy,Harris,9,8/19/2020 0:00,6/12/2021 0:00
246,57603,2005887361,3,Summit Preparatory Charter High School,Harold,Harris,9,8/19/2020 0:00,6/12/2021 0:00
247,62195,4506903905,3,Summit Preparatory Charter High School,Rosie,Harris,9,8/19/2020 0:00,6/12/2021 0:00
248,27060,1694185712,3,Summit Preparatory Charter High School,Brad,Harrison,9,8/19/2020 0:00,6/12/2021 0:00
249,20274,3567622565,3,Summit Preparatory Charter High School,Michael,Holmes,9,8/19/2020 0:00,6/12/2021 0:00
250,71046,8097095833,3,Summit Preparatory Charter High School,Carl,Howard,9,8/19/2020 0:00,6/12/2021 0:00
251,14686,9427849677,3,Summit Preparatory Charter High School,Miley,Johnston,9,8/19/2020 0:00,6/12/2021 0:00
252,27657,8965775820,3,Summit Preparatory Charter High School,Alina,Jones,9,8/19/2020 0:00,6/12/2021 0:00
253,16455,6760477143,3,Summit Preparatory Charter High School,Preston,Lloyd,9,8/19/2020 0:00,6/12/2021 0:00
254,87871,6318745940,3,Summit Preparatory Charter High School,Brianna,Miller,9,8/19/2020 0:00,6/12/2021 0:00
255,40071,1520712417,3,Summit Preparatory Charter High School,Adison,Montgomery,9,8/19/2020 0:00,6/12/2021 0:00
256,35604,4602930052,3,Summit Preparatory Charter High School,Garry,Montgomery,9,8/19/2020 0:00,6/12/2021 0:00
257,29305,9880712445,3,Summit Preparatory Charter High School,Carl,Morgan,9,8/19/2020 0:00,6/12/2021 0:00
258,15319,2921157107,3,Summit Preparatory Charter High School,Cherry,Morris,9,8/19/2020 0:00,6/12/2021 0:00
259,15515,6821838355,3,Summit Preparatory Charter High School,Natalie,Murphy,9,8/19/2020 0:00,6/12/2021 0:00
260,32243,5849792087,3,Summit Preparatory Charter High School,Vanessa,Murray,9,8/19/2020 0:00,6/12/2021 0:00
261,34451,1359436193,3,Summit Preparatory Charter High School,Clark,Payne,9,8/19/2020 0:00,6/12/2021 0:00
262,93638,8835325447,3,Summit Preparatory Charter High School,Ryan,Reed,9,8/19/2020 0:00,6/12/2021 0:00
263,43576,4549007465,3,Summit Preparatory Charter High School,Antony,Roberts,9,8/19/2020 0:00,6/12/2021 0:00
264,79057,1443924107,3,Summit Preparatory Charter High School,Daryl,Ross,9,8/19/2020 0:00,6/12/2021 0:00
265,72376,1683794845,3,Summit Preparatory Charter High School,Jessica,Scott,9,8/19/2020 0:00,6/12/2021 0:00
266,54590,7306398387,3,Summit Preparatory Charter High School,Oscar,Smith,9,8/19/2020 0:00,6/12/2021 0:00
267,16511,8660374824,3,Summit Preparatory Charter High School,Emily,Stewart,9,8/19/2020 0:00,6/12/2021 0:00
268,55976,7148207366,3,Summit Preparatory Charter High School,Preston,Turner,9,8/19/2020 0:00,6/12/2021 0:00
269,94607,6980325516,3,Summit Preparatory Charter High School,Sarah,Walker,9,8/19/2020 0:00,6/12/2021 0:00
270,19422,8123497058,3,Summit Preparatory Charter High School,Alina,Watson,9,8/19/2020 0:00,6/12/2021 0:00
271,92416,3632253501,3,Summit Preparatory Charter High School,Spike,Wells,9,8/19/2020 0:00,6/12/2021 0:00
272,90655,4071515919,3,Summit Preparatory Charter High School,Vivian,Williams,9,8/19/2020 0:00,6/12/2021 0:00
273,84983,8905811821,3,Summit Preparatory Charter High School,Byron,Wilson,9,8/19/2020 0:00,6/12/2021 0:00
274,72306,2551825281,3,Summit Preparatory Charter High School,Alfred,Barnes,10,8/19/2020 0:00,6/12/2021 0:00
275,92697,4697746870,3,Summit Preparatory Charter High School,Heather,Barrett,10,8/19/2020 0:00,6/12/2021 0:00
276,54314,2335299445,3,Summit Preparatory Charter High School,Edith,Brooks,10,8/19/2020 0:00,6/12/2021 0:00
277,27107,9871988670,3,Summit Preparatory Charter High School,Fenton,Cameron,10,8/19/2020 0:00,6/12/2021 0:00
278,52713,4710281934,3,Summit Preparatory Charter High School,Antony,Carter,10,8/19/2020 0:00,6/12/2021 0:00
279,75422,9083044666,3,Summit Preparatory Charter High School,Briony,Casey,10,8/19/2020 0:00,6/12/2021 0:00
280,13311,4160203723,3,Summit Preparatory Charter High School,Vivian,Casey,10,8/19/2020 0:00,6/12/2021 0:00
281,67347,4940923226,3,Summit Preparatory Charter High School,Elian,Chapman,10,8/19/2020 0:00,6/12/2021 0:00
282,91325,7816026452,3,Summit Preparatory Charter High School,Owen,Cooper,10,8/19/2020 0:00,6/12/2021 0:00
283,62077,1352025600,3,Summit Preparatory Charter High School,Lydia,Crawford,10,8/19/2020 0:00,6/12/2021 0:00
284,50394,9894944747,3,Summit Preparatory Charter High School,Ryan,Cunningham,10,8/19/2020 0:00,6/12/2021 0:00
285,77274,8843954563,3,Summit Preparatory Charter High School,Ted,Ellis,10,8/19/2020 0:00,6/12/2021 0:00
286,32182,1291970936,3,Summit Preparatory Charter High School,Richard,Farrell,10,8/19/2020 0:00,6/12/2021 0:00
287,78993,4683673058,3,Summit Preparatory Charter High School,Kirsten,Gibson,10,8/19/2020 0:00,6/12/2021 0:00
288,12206,2622031208,3,Summit Preparatory Charter High School,Darcy,Harris,10,8/19/2020 0:00,6/12/2021 0:00
289,50940,6742949958,3,Summit Preparatory Charter High School,Tiana,Harris,10,8/19/2020 0:00,6/12/2021 0:00
290,93818,4759546197,3,Summit Preparatory Charter High School,Spike,Harrison,10,8/19/2020 0:00,6/12/2021 0:00
291,30525,8881687822,3,Summit Preparatory Charter High School,Agata,Higgins,10,8/19/2020 0:00,6/12/2021 0:00
