,LOCAL_STUDENT_ID,STATE_STUDENT_ID,SITE_ID,SITE_NAME,FIRST_NAME,LAST_NAME,GRADE_LEVEL,CURRENT_SCHOOL_ENROLLMENT_START_DATE,CURRENT_SCHOOL_ENROLLMENT_END_DATE
0,57490,7338369947,2,Summit Public School: Tahoma,Fiona,Andrews,9,8/19/2020 0:00,6/12/2021 0:00
1,70923,2982104276,2,Summit Public School: Tahoma,Gianna,Bailey,9,8/19/2020 0:00,6/12/2021 0:00
2,73495,9646009935,2,Summit Public School: Tahoma,Abraham,Brooks,9,8/19/2020 0:00,6/12/2021 0:00
3,88419,7006792003,2,Summit Public School: Tahoma,Penelope,Brooks,9,8/19/2020 0:00,6/12/2021 0:00
4,44723,5834697068,2,Summit Public School: Tahoma,Agata,Campbell,9,8/19/2020 0:00,6/12/2021 0:00
5,94150,6361714955,2,Summit Public School: Tahoma,Garry,Carroll,9,8/19/2020 0:00,6/12/2021 0:00
6,36162,8780513015,2,Summit Public School: Tahoma,Naomi,Cooper,9,8/19/2020 0:00,6/12/2021 0:00
7,13527,4550023109,2,Summit Public School: Tahoma,Stuart,Cooper,9,8/19/2020 0:00,6/12/2021 0:00
8,88284,5249995298,2,Summit Public School: Tahoma,Alen,Crawford,9,8/19/2020 0:00,6/12/2021 0:00
9,75276,1139329856,2,Summit Public School: Tahoma,Arthur,Davis,9,8/19/2020 0:00,6/12/2021 0:00
10,33383,6363382861,2,Summit Public School: Tahoma,Grace,Davis,9,8/19/2020 0:00,6/12/2021 0:00
11,67594,2897226551,2,Summit Public School: Tahoma,Daniel,Dixon,9,8/19/2020 0:00,6/12/2021 0:00
12,41650,9839397153,2,Summit Public School: Tahoma,Michelle,Dixon,9,8/19/2020 0:00,6/12/2021 0:00
13,52464,7714650699,2,Summit Public School: Tahoma,Stella,Elliott,9,8/19/2020 0:00,6/12/2021 0:00
14,97662,8548206060,2,Summit Public School: Tahoma,Dominik,Foster,9,8/19/2020 0:00,6/12/2021 0:00
15,87181,3846702654,2,Summit Public School: Tahoma,Sarah,Foster,9,8/19/2020 0:00,6/12/2021 0:00
16,56096,5757026392,2,Summit Public School: Tahoma,Ted,Gibson,9,8/19/2020 0:00,6/12/2021 0:00
17,79095,4056955469,2,Summit Public School: Tahoma,Sabrina,Grant,9,8/19/2020 0:00,6/12/2021 0:00
18,90190,1495080543,2,Summit Public School: Tahoma,Jacob,Harris,9,8/19/2020 0:00,6/12/2021 0:00
19,40190,2598459215,2,Summit Public School: Tahoma,Penelope,Henderson,9,8/19/2020 0:00,6/12/2021 0:00
20,36411,3179800736,2,Summit Public School: Tahoma,Agata,Kelley,9,8/19/2020 0:00,6/12/2021 0:00
21,18691,6821013478,2,Summit Public School: Tahoma,Eric,Montgomery,9,8/19/2020 0:00,6/12/2021 0:00
22,46559,2750229968,2,Summit Public School: Tahoma,Jacob,Morgan,9,8/19/2020 0:00,6/12/2021 0:00
23,94013,7164851135,2,Summit Public School: Tahoma,Henry,Murphy,9,8/19/2020 0:00,6/12/2021 0:00
24,82331,5926584795,2,Summit Public School: Tahoma,Luke,Murphy,9,8/19/2020 0:00,6/12/2021 0:00
25,83333,6353964180,2,Summit Public School: Tahoma,Darcy,Myers,9,8/19/2020 0:00,6/12/2021 0:00
26,74966,2332134849,2,Summit Public School: Tahoma,Brad,Owens,9,8/19/2020 0:00,6/12/2021 0:00
27,24209,1455980618,2,Summit Public School: Tahoma,Melanie,Perkins,9,8/19/2020 0:00,6/12/2021 0:00
28,29906,7247683846,2,Summit Public School: Tahoma,Sophia,Perkins,9,8/19/2020 0:00,6/12/2021 0:00
29,33617,6523107629,2,Summit Public School: Tahoma,Reid,Phillips,9,8/19/2020 0:00,6/12/2021 0:00
30,78338,6715291774,2,Summit Public School: Tahoma,Gianna,Reed,9,8/19/2020 0:00,6/12/2021 0:00
31,75427,6933268533,2,Summit Public School: Tahoma,Lenny,Reed,9,8/19/2020 0:00,6/12/2021 0:00
32,55801,9724845409,2,Summit Public School: Tahoma,April,Richardson,9,8/19/2020 0:00,6/12/2021 0:00
33,97243,1455939806,2,Summit Public School: Tahoma,James,Riley,9,8/19/2020 0:00,6/12/2021 0:00
34,98518,6610964374,2,Summit Public School: Tahoma,Ned,Roberts,9,8/19/2020 0:00,6/12/2021 0:00
35,88147,3214518725,2,Summit Public School: Tahoma,Emily,Robinson,9,8/19/2020 0:00,6/12/2021 0:00
36,20451,2451111419,2,Summit Public School: Tahoma,Vincent,Ryan,9,8/19/2020 0:00,6/12/2021 0:00
37,99771,2110708271,2,Summit Public School: Tahoma,Amanda,Stewart,9,8/19/2020 0:00,6/12/2021 0:00
38,83301,1702640105,2,Summit Public School: Tahoma,Julia,Walker,9,8/19/2020 0:00,6/12/2021 0:00
39,95664,5130035287,2,Summit Public School: Tahoma,Sam,Walker,9,8/19/2020 0:00,6/12/2021 0:00
40,31250,1891768852,2,Summit Public School: Tahoma,Sienna,Watson,9,8/19/2020 0:00,6/12/2021 0:00
41,64197,4798341813,2,Summit Public School: Tahoma,Vanessa,West,9,8/19/2020 0:00,6/12/2021 0:00
42,57839,8017694475,2,Summit Public School: Tahoma,Derek,Williams,9,8/19/2020 0:00,6/12/2021 0:00
43,57243,8744748371,2,Summit Public School: Tahoma,Jenna,Wright,9,8/19/2020 0:00,6/12/2021 0:00
44,56290,9530777355,2,Summit Public School: Tahoma,Tara,Allen,10,8/19/2020 0:00,6/12/2021 0:00
45,52465,3423744783,2,Summit Public School: Tahoma,Emma,Andrews,10,8/19/2020 0:00,6/12/2021 0:00
46,78127,9688488442,2,Summit Public School: Tahoma,Vivian,Barnes,10,8/19/2020 0:00,6/12/2021 0:00
47,90003,5893449995,2,Summit Public School: Tahoma,Fiona,Barrett,10,8/19/2020 0:00,6/12/2021 0:00
48,29900,9774991127,2,Summit Public School: Tahoma,Vincent,Barrett,10,8/19/2020 0:00,6/12/2021 0:00
49,37448,2026524440,2,Summit Public School: Tahoma,Derek,Carroll,10,8/19/2020 0:00,6/12/2021 0:00
50,79325,3874079683,2,Summit Public School: Tahoma,Myra,Davis,10,8/19/2020 0:00,6/12/2021 0:00
51,20712,2078752331,2,Summit Public School: Tahoma,Roland,Davis,10,8/19/2020 0:00,6/12/2021 0:00
52,26297,3883643449,2,Summit Public School: Tahoma,Julian,Dixon,10,8/19/2020 0:00,6/12/2021 0:00
53,56456,7277303341,2,Summit Public School: Tahoma,Connie,Douglas,10,8/19/2020 0:00,6/12/2021 0:00
54,83236,5319277626,2,Summit Public School: Tahoma,Kate,Douglas,10,8/19/2020 0:00,6/12/2021 0:00
55,45720,8453405058,2,Summit Public School: Tahoma,Dominik,Edwards,10,8/19/2020 0:00,6/12/2021 0:00
56,82669,5961671813,2,Summit Public School: Tahoma,Kellan,Edwards,10,8/19/2020 0:00,6/12/2021 0:00
57,61733,1496466033,2,Summit Public School: Tahoma,Lucia,Edwards,10,8/19/2020 0:00,6/12/2021 0:00
58,91443,9893995222,2,Summit Public School: Tahoma,Alan,Evans,10,8/19/2020 0:00,6/12/2021 0:00
59,45913,6602822566,2,Summit Public School: Tahoma,Adelaide,Gibson,10,8/19/2020 0:00,6/12/2021 0:00
60,56891,1556811175,2,Summit Public School: Tahoma,James,Gibson,10,8/19/2020 0:00,6/12/2021 0:00
61,76981,8238045061,2,Summit Public School: Tahoma,Rosie,Gibson,10,8/19/2020 0:00,6/12/2021 0:00
62,15603,3551851982,2,Summit Public School: Tahoma,Dexter,Gray,10,8/19/2020 0:00,6/12/2021 0:00
63,54850,1405636992,2,Summit Public School: Tahoma,Amy,Hall,10,8/19/2020 0:00,6/12/2021 0:00
64,77763,2743845962,2,Summit Public School: Tahoma,Kelvin,Hall,10,8/19/2020 0:00,6/12/2021 0:00
65,47630,7124786789,2,Summit Public School: Tahoma,Adrianna,Harper,10,8/19/2020 0:00,6/12/2021 0:00
66,19077,6871124298,2,Summit Public School: Tahoma,Kimberly,Hill,10,8/19/2020 0:00,6/12/2021 0:00
67,96600,7910498345,2,Summit Public School: Tahoma,Edgar,Holmes,10,8/19/2020 0:00,6/12/2021 0:00
68,54024,1883559538,2,Summit Public School: Tahoma,Lenny,Johnston,10,8/19/2020 0:00,6/12/2021 0:00
