,LOCAL_STUDENT_ID,STATE_STUDENT_ID,SITE_ID,SITE_NAME,FIRST_NAME,LAST_NAME,GRADE_LEVEL,CURRENT_SCHOOL_ENROLLMENT_START_DATE,CURRENT_SCHOOL_ENROLLMENT_END_DATE
1456,75373,5489275455,8,Summit Public School: Tamalpais,Miller,Adams,7,8/19/2020 0:00,6/12/2021 0:00
1457,22939,3822249731,8,Summit Public School: Tamalpais,Connie,Allen,7,8/19/2020 0:00,6/12/2021 0:00
1458,39124,1536359453,8,Summit Public School: Tamalpais,Julia,Armstrong,7,8/19/2020 0:00,6/12/2021 0:00
1459,22035,3417479243,8,Summit Public School: Tamalpais,Sarah,Bailey,7,8/19/2020 0:00,6/12/2021 0:00
1460,38931,1014620317,8,Summit Public School: Tamalpais,Luke,Baker,7,8/19/2020 0:00,6/12/2021 0:00
1461,23817,7909787814,8,Summit Public School: Tamalpais,Alina,Barnes,7,8/19/2020 0:00,6/12/2021 0:00
1462,70151,6089808923,8,Summit Public School: Tamalpais,Arianna,Barrett,7,8/19/2020 0:00,6/12/2021 0:00
1463,21977,8445999097,8,Summit Public School: Tamalpais,Elise,Cameron,7,8/19/2020 0:00,6/12/2021 0:00
1464,36046,9914839669,8,Summit Public School: Tamalpais,Adelaide,Carter,7,8/19/2020 0:00,6/12/2021 0:00
1465,75071,1252954265,8,Summit Public School: Tamalpais,Olivia,Carter,7,8/19/2020 0:00,6/12/2021 0:00
1466,23097,1656548817,8,Summit Public School: Tamalpais,Frederick,Casey,7,8/19/2020 0:00,6/12/2021 0:00
1467,54373,1220889760,8,Summit Public School: Tamalpais,Carlos,Chapman,7,8/19/2020 0:00,6/12/2021 0:00
1468,31282,2167911042,8,Summit Public School: Tamalpais,Derek,Chapman,7,8/19/2020 0:00,6/12/2021 0:00
1469,47653,6279244885,8,Summit Public School: Tamalpais,Julian,Clark,7,8/19/2020 0:00,6/12/2021 0:00
1470,11178,8535569291,8,Summit Public School: Tamalpais,Oliver,Clark,7,8/19/2020 0:00,6/12/2021 0:00
1471,62087,6005389246,8,Summit Public School: Tamalpais,Isabella,Douglas,7,8/19/2020 0:00,6/12/2021 0:00
1472,84523,9679799708,8,Summit Public School: Tamalpais,Steven,Douglas,7,8/19/2020 0:00,6/12/2021 0:00
1473,40810,9688316442,8,Summit Public School: Tamalpais,Patrick,Edwards,7,8/19/2020 0:00,6/12/2021 0:00
